2013;2.1;1.4;3;9;11.1;15.8;20.2;18.6;14.8;12.8;6.4;6.1
2014;6.1;6.6;9.3;12.4;13.5;16.5;19.3;16.2;16.5;13.6;8.8;4.3
2015;3.5;3.3;6.6;10.3;13.1;16.5;19;19.4;13.5;10.2;10.1;9.6
2016;4.8;4.5;5.3;8.5;14.2;16;18.3;18.1;17.5;9.7;6.1;4.7
2017;1.1;6.1;9.6;8.8;15.5;19.2;18.6;18.1;14.1;13.3;6.6;4.4
2018;6;0.8;5.4;13;16.3;18.1;22;19.4;15.4;12.6;7.4;5.8
2019;3;7;8.5;11;;;;;;;;
